index,Country,State
295,Ethiopia,Oromia Region
296,Ethiopia,Oromia Region
297,Ethiopia,Oromia Region
298,Ethiopia,Oromia Region
299,Ethiopia,Oromia Region
300,Ethiopia,Oromia Region
301,Ethiopia,Oromia Region
302,Ethiopia,Oromia Region
303,Ethiopia,Oromia Region
304,Ethiopia,Oromia Region
305,Ethiopia,Oromia Region
306,Ethiopia,Oromia Region
307,Ethiopia,Oromia Region
308,Ethiopia,Oromia Region
309,Ethiopia,Oromia Region
310,Ethiopia,Oromia Region
311,Ethiopia,Oromia Region
312,Ethiopia,Oromia Region
313,Ethiopia,Oromia Region
314,Ethiopia,Oromia Region
315,Ethiopia,Oromia Region
316,Ethiopia,Oromia Region
317,Ethiopia,Oromia Region
318,Ethiopia,Oromia Region
319,Ethiopia,Oromia Region
320,Ethiopia,Oromia Region
321,Ethiopia,Oromia Region
322,Ethiopia,Oromia Region
323,Ethiopia,Oromia Region
324,Ethiopia,Oromia Region
325,Ethiopia,Oromia Region
326,Ethiopia,Oromia Region
327,Ethiopia,Oromia Region
328,Ethiopia,Oromia Region
329,Ethiopia,Oromia Region
330,Ethiopia,Oromia Region
331,Ethiopia,Oromia Region
332,Ethiopia,Oromia Region
333,Ethiopia,Oromia Region
334,Ethiopia,Oromia Region
335,Ethiopia,Oromia Region
336,Ethiopia,Oromia Region
337,Ethiopia,Oromia Region
338,Ethiopia,Oromia Region
339,Ethiopia,Oromia Region
340,Ethiopia,Oromia Region
341,Ethiopia,Oromia Region
342,Ethiopia,Oromia Region
343,Ethiopia,Oromia Region
344,Ethiopia,Oromia Region
345,Ethiopia,Oromia Region
346,Ethiopia,Oromia Region
347,Ethiopia,Oromia Region
348,Ethiopia,Oromia Region
349,Ethiopia,Oromia Region
350,Ethiopia,Oromia Region
351,Ethiopia,Oromia Region
352,Ethiopia,Oromia Region
353,Ethiopia,Oromia Region
354,Ethiopia,Oromia Region
355,Ethiopia,Oromia Region
356,Ethiopia,Oromia Region
357,Ethiopia,Oromia Region
358,Ethiopia,Oromia Region
359,Ethiopia,Oromia Region
360,Ethiopia,Oromia Region
361,Ethiopia,Oromia Region
362,Ethiopia,Oromia Region
363,Ethiopia,Oromia Region
364,Ethiopia,Oromia Region
365,Ethiopia,Oromia Region
366,Ethiopia,Oromia Region
367,Ethiopia,Oromia Region
368,Ethiopia,Oromia Region
369,Ethiopia,Oromia Region
370,Ethiopia,Oromia Region
371,Ethiopia,Oromia Region
372,Ethiopia,Oromia Region
373,Ethiopia,Oromia Region
374,Ethiopia,Oromia Region
375,Ethiopia,Oromia Region
376,Ethiopia,Oromia Region
377,Ethiopia,Oromia Region
378,Ethiopia,Oromia Region
379,Ethiopia,Oromia Region
380,Ethiopia,Oromia Region
381,Ethiopia,Amhara Region
382,Ethiopia,Amhara Region
383,Ethiopia,Amhara Region
384,Ethiopia,Amhara Region
385,Ethiopia,Amhara Region
386,Ethiopia,Amhara Region
387,Ethiopia,Amhara Region
388,Ethiopia,Amhara Region
389,Ethiopia,Amhara Region
390,Ethiopia,Amhara Region
391,Ethiopia,Amhara Region
392,Ethiopia,Amhara Region
393,Ethiopia,Amhara Region
394,Ethiopia,Amhara Region
395,Ethiopia,Amhara Region
396,Ethiopia,Amhara Region
397,Ethiopia,Amhara Region
398,Ethiopia,Amhara Region
399,Ethiopia,Amhara Region
400,Ethiopia,Amhara Region
401,Ethiopia,Amhara Region
402,Ethiopia,Amhara Region
403,Ethiopia,Amhara Region
404,Ethiopia,Amhara Region
405,Ethiopia,Amhara Region
406,Ethiopia,Amhara Region
407,Ethiopia,Amhara Region
408,Ethiopia,Amhara Region
409,Ethiopia,Amhara Region
410,Ethiopia,Amhara Region
411,Ethiopia,Amhara Region
412,Ghana,Upper West Region
413,Ghana,Upper West Region
414,Ghana,Upper West Region
415,Ghana,Upper West Region
416,Ghana,Upper West Region
417,Ghana,Upper West Region
418,Ghana,Upper West Region
419,Ghana,Upper West Region
420,Ghana,Upper West Region
421,Ghana,Upper West Region
422,Ghana,Upper West Region
423,Ghana,Upper West Region
424,Ghana,Upper West Region
425,Ghana,Upper West Region
426,Ghana,Upper West Region
427,Ghana,Upper West Region
428,Ghana,Upper West Region
429,Ghana,Upper West Region
430,Ghana,Upper West Region
431,Ghana,Upper West Region
432,Ghana,Upper West Region
433,Ghana,Upper West Region
434,Ghana,Upper West Region
435,Ghana,Upper West Region
436,Ghana,Upper West Region
437,Ghana,Upper West Region
438,Ghana,Upper West Region
439,Ghana,Upper West Region
440,Ghana,Upper West Region
441,Ghana,Upper West Region
442,Ghana,Upper West Region
443,Ghana,Upper West Region
444,Ghana,Ashanti Region
445,Ghana,Ashanti Region
446,Ghana,Ashanti Region
447,Ghana,Ashanti Region
448,Ghana,Ashanti Region
449,Ghana,Ashanti Region
450,Ghana,Ashanti Region
451,Ghana,Ashanti Region
452,Ghana,Ashanti Region
453,Ghana,Ashanti Region
454,Ghana,Ashanti Region
455,Ghana,Ashanti Region
456,Ghana,Ashanti Region
457,Ghana,Ashanti Region
458,Ghana,Ashanti Region
459,Ghana,Ashanti Region
460,Ghana,Ashanti Region
461,Ghana,Ashanti Region
462,Ghana,Ashanti Region
463,Ghana,Ashanti Region
464,Ghana,Ashanti Region
465,Ghana,Ashanti Region
466,Ghana,Ashanti Region
467,Ghana,Ashanti Region
468,Ghana,Ashanti Region
469,Ghana,Ashanti Region
470,Ghana,Ashanti Region
471,Ghana,Ashanti Region
472,Ghana,Ashanti Region
473,Ghana,Ashanti Region
474,Ghana,Ashanti Region
475,Ghana,Ashanti Region
476,Ghana,Central Region
477,Ghana,Central Region
478,Ghana,Central Region
479,Ghana,Central Region
480,Ghana,Central Region
481,Ghana,Central Region
482,Ghana,Central Region
483,Ghana,Central Region
484,Ghana,Central Region
485,Ghana,Central Region
486,Ghana,Central Region
487,Ghana,Central Region
488,Ghana,Central Region
489,Ghana,Central Region
490,Ghana,Central Region
491,Ghana,Central Region
492,Ghana,Central Region
493,Ghana,Central Region
494,Ghana,Central Region
495,Ghana,Central Region
496,Ghana,Central Region
497,Ghana,Central Region
498,Ghana,Central Region
499,Ghana,Central Region
500,Ghana,Central Region
501,Ghana,Central Region
502,Ghana,Central Region
503,Ghana,Central Region
504,Ghana,Central Region
505,Ghana,Central Region
506,Ghana,Central Region
507,Ghana,Central Region
508,Guinea,Kindia Region
509,Guinea,Kindia Region
510,Guinea,Kindia Region
511,Guinea,Kindia Region
512,Guinea,Boké Region
513,Guinea,Boké Region
514,Guinea,Boké Region
515,Guinea,Boké Region
516,Guinea,Kindia Region
517,Guinea,Kindia Region
518,Guinea,Kindia Region
519,Guinea,Kindia Region
520,Guinea,Boké Region
521,Guinea,Boké Region
522,Guinea,Boké Region
523,Guinea,Boké Region
524,Guinea,Kindia Region
525,Guinea,Kindia Region
526,Guinea,Kindia Region
527,Guinea,Kindia Region
528,Guinea,Kindia Region
529,Guinea,Kindia Region
530,Guinea,Boké Region
531,Guinea,Boké Region
532,Guinea,Kindia Region
533,Guinea,Kindia Region
534,Guinea,Kindia Region
535,Guinea,Kindia Region
536,Guinea,Kindia Region
537,Guinea,Kindia Region
538,Guinea,Kindia Region
539,Guinea,Kindia Region
540,Guinea,Boké Region
541,Guinea,Boké Region
542,Guinea,Boké Region
543,Guinea,Boké Region
544,Guinea,Boké Region
545,Guinea,Boké Region
546,Guinea,Boké Region
547,Guinea,Boké Region
548,Guinea,Boké Region
549,Guinea,Boké Region
550,Guinea,Boké Region
551,Guinea,Boké Region
552,Guinea,Boké Region
553,Guinea,Boké Region
554,Guinea,Boké Region
555,Guinea,Boké Region
556,Guinea,Boké Region
557,Guinea,Boké Region
558,Guinea,Boké Region
559,Guinea,Boké Region
560,Guinea,Boké Region
561,Guinea,Boké Region
562,Guinea,Boké Region
563,Guinea,Boké Region
564,Guinea,Boké Region
565,Guinea,Boké Region
566,Guinea,Boké Region
567,Guinea,Boké Region
568,Guinea,Boké Region
569,Guinea,Boké Region
570,Guinea,Boké Region
571,Kenya,Tana River County
572,Kenya,Tana River County
573,Kenya,Tana River County
574,Kenya,Tana River County
575,Kenya,Tana River County
576,Kenya,Tana River County
577,Kenya,Tana River County
578,Kenya,Tana River County
579,Kenya,Tana River County
580,Kenya,Tana River County
581,Kenya,Tana River County
582,Kenya,Tana River County
583,Kenya,Tana River County
584,Kenya,Tana River County
585,Kenya,Tana River County
586,Kenya,Tana River County
587,Kenya,Tana River County
588,Kenya,Tana River County
589,Kenya,Tana River County
590,Kenya,Tana River County
